,Mon-Thu,Fri,Sat-Sun
1077 South Main Street,24 hrs/day,24 hrs/day,24 hrs/day
131 West Grace Street,24 hrs/day,24 hrs/day,24 hrs/day
A Lot,24 hrs/day,24 hrs/day,24 hrs/day
B Lot,24 hrs/day,24 hrs/day,24 hrs/day
C6 Lot SADAH,24 hrs/day,24 hrs/day,24 hrs/day
Cantrell Ave Deck Level 2,24 hrs/day,24 hrs/day,24 hrs/day
Cantrell Ave Deck Level 3,24 hrs/day,24 hrs/day,24 hrs/day
Grace Street Deck Level 2,24 hrs/day,24 hrs/day,24 hrs/day
Grace Street Deck Level 3,24 hrs/day,24 hrs/day,24 hrs/day
Grace Street Deck Level 4,24 hrs/day,24 hrs/day,24 hrs/day
Grace Street Deck Level 5,24 hrs/day,24 hrs/day,24 hrs/day
Grace Street Deck Level 6,24 hrs/day,24 hrs/day,24 hrs/day
Grace Street Deck Level 7,24 hrs/day,24 hrs/day,24 hrs/day
I Lot,24 hrs/day,24 hrs/day,24 hrs/day
Ice House Lot,24 hrs/day,24 hrs/day,24 hrs/day
J lot,24 hrs/day,24 hrs/day,24 hrs/day
K Lot,24 hrs/day,24 hrs/day,24 hrs/day
M Lot,24 hrs/day,24 hrs/day,24 hrs/day
Mason Street Deck Faculty/Staff,24 hrs/day,24 hrs/day,24 hrs/day
Memorial Hall,24 hrs/day,24 hrs/day,24 hrs/day
N3 Lot,24 hrs/day,24 hrs/day,24 hrs/day
Q Lot East,24 hrs/day,24 hrs/day,24 hrs/day
Q Lot North,24 hrs/day,24 hrs/day,24 hrs/day
Q Lot West,24 hrs/day,24 hrs/day,24 hrs/day
R8 Lot Faculty/Staff,24 hrs/day,24 hrs/day,24 hrs/day
S Lot,24 hrs/day,24 hrs/day,24 hrs/day
T Lot,24 hrs/day,24 hrs/day,24 hrs/day
V Lot,24 hrs/day,24 hrs/day,24 hrs/day
W Lot,24 hrs/day,24 hrs/day,24 hrs/day
Warsaw Ave Deck Level 2 faculty/staff,24 hrs/day,24 hrs/day,24 hrs/day
Warsaw Ave Deck Level G,24 hrs/day,24 hrs/day,24 hrs/day
X Lot,24 hrs/day,24 hrs/day,24 hrs/day
Y Lot,24 hrs/day,24 hrs/day,24 hrs/day
Z Lot,24 hrs/day,24 hrs/day,24 hrs/day
