,Mon-Thu,Fri,Sat-Sun
R1 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R2 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R3 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R4 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R5 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R7 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R8 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R9 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R10 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R11 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R12 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R13 Lot,24 hrs/day,24 hrs/day,24 hrs/day
R14 Lot,24 hrs/day,24 hrs/day,24 hrs/day
